序号,借款信息,还款日期,还款金额,实际还款日期,实际还款金额,说明
104,抖音-20250620-3500,20251220,440.51,,,
105,金条-20250323-5000,20251223,467.29,,,
106,分期乐-20250504-3000,20251225,301.38,,,
107,分期乐-20250609-5000,20251225,484.49,,,
108,分期乐-20250617-5000,20251225,504.14,,,
109,金条-20250425-5000,20251225,467.29,,,
110,360-20250601-4000,20260101,494.81,,,
111,360-20250701-5000,20260101,505.29,,,
112,京东白条-20250502-9000,20260102,863.79,,,
113,360-20250114-5000,20260104,453.32,,,
114,借呗-20241225-2000,20260104,169.28,,,
115,美团-20241224-3500,20260105,329.94,,,
116,美团-20250414-1500,20260105,141.80,,,
117,美团-20250624-2000,20260105,190.50,,,
118,美团-20250705-1000,20260105,94.59,,,
119,360-20250712-6000,20260112,602.71,,,
120,极融-20250616-6000,20260116,602.67,,,
121,分期乐-20250317-7000,20260117,703.23,,,
122,抖音-20250304-3000,20260118,280.27,,,
123,抖音-20250504-2000,20260118,186.83,,,
124,分期乐-20250117-8000,20260118,792.17,,,
125,抖音-20250620-3500,20260120,383.24,,,
126,金条-20250323-5000,20260123,467.29,,,
127,分期乐-20250504-3000,20260125,301.38,,,
128,分期乐-20250609-5000,20260125,484.49,,,
129,分期乐-20250617-5000,20260125,493.93,,,
130,金条-20250425-5000,20260125,467.29,,,
131,360-20250601-4000,20260201,484.29,,,
132,360-20250701-5000,20260201,494.83,,,
133,京东白条-20250502-9000,20260202,852.97,,,
134,美团-20250414-1500,20260205,141.80,,,
135,美团-20250624-2000,20260205,190.50,,,
136,美团-20250705-1000,20260205,94.59,,,
137,360-20250712-6000,20260212,602.71,,,
138,极融-20250616-6000,20260216,602.67,,,
139,分期乐-20250317-7000,20260217,703.23,,,
140,抖音-20250304-3000,20260218,280.27,,,
141,抖音-20250504-2000,20260218,186.83,,,
142,抖音-20250620-3500,20260220,331.56,,,
143,金条-20250323-5000,20260223,467.29,,,
144,分期乐-20250504-3000,20260225,301.38,,,
145,分期乐-20250609-5000,20260225,484.49,,,
146,分期乐-20250617-5000,20260225,483.66,,,
147,金条-20250425-5000,20260225,467.29,,,
序号,借款信息,还款日期,还款金额,实际还款日期,实际还款金额,说明
148,360-20250601-4000,20260301,469.57,,,
149,360-20250701-5000,20260301,479.14,,,
150,京东白条-20250502-9000,20260305,582.57,,,
151,美团-20250414-1500,20260305,141.80,,,
152,美团-20250624-2000,20260305,190.50,,,
153,美团-20250705-1000,20260305,94.59,,,
154,360-20250712-6000,20260312,602.71,,,
155,极融-20250616-6000,20260316,602.67,,,
156,分期乐-20250317-7000,20260317,703.23,,,
157,抖音-20250304-3000,20260318,280.24,,,
158,抖音-20250504-2000,20260318,186.83,,,
159,抖音-20250620-3500,20260320,252.84,,,
160,金条-20250323-5000,20260323,467.29,,,
161,分期乐-20250504-3000,20260325,301.38,,,
162,分期乐-20250609-5000,20260325,484.49,,,
163,分期乐-20250617-5000,20260325,473.34,,,
164,金条-20250425-5000,20260325,467.29,,,
165,360-20250601-4000,20260401,463.08,,,
166,360-20250701-5000,20260401,473.71,,,
167,京东白条-20250502-9000,20260402,554.28,,,
168,美团-20250414-1500,20260405,141.80,,,
169,美团-20250624-2000,20260405,190.50,,,
170,美团-20250705-1000,20260405,94.59,,,
171,360-20250712-6000,20260412,602.71,,,
172,极融-20250616-6000,20260416,602.67,,,
173,抖音-20250504-2000,20260418,186.83,,,
174,抖音-20250620-3500,20260420,171.12,,,
175,分期乐-20250504-3000,20260425,301.38,,,
176,分期乐-20250609-5000,20260425,484.49,,,
177,分期乐-20250617-5000,20260425,462.96,,,
178,金条-20250425-5000,20260425,467.29,,,
179,360-20250601-4000,20260501,451.70,,,
180,360-20250701-5000,20260501,462.05,,,
181,京东白条-20250502-9000,20260503,554.28,,,
182,美团-20250414-1500,20260505,141.74,,,
183,美团-20250624-2000,20260505,190.50,,,
184,美团-20250705-1000,20260505,94.59,,,
185,360-20250712-6000,20260512,602.71,,,
186,抖音-20250504-2000,20260518,186.80,,,
187,抖音-20250620-3500,20260520,106.06,,,
188,分期乐-20250609-5000,20260525,484.49,,,
189,分期乐-20250617-5000,20260525,452.53,,,
190,360-20250601-4000,20260601,444.38,,,
191,360-20250701-5000,20260601,452.41,,,
192,美团-20250624-2000,20260605,190.50,,,
193,美团-20250705-1000,20260605,94.59,,,
194,360-20250712-6000,20260612,602.71,,,
195,抖音-20250620-3500,20260620,50.29,,,
196,分期乐-20250617-5000,20260625,442.02,,,
序号,借款信息,还款日期,还款金额,实际还款日期,实际还款金额,说明
197,360-20250701-5000,20260701,444.43,,,
198,美团-20250624-2000,20260705,190.92,,,
199,美团-20250705-1000,20260705,94.65,,,
200,360-20250712-6000,20260712,630.25,,,
